ID,FirstName,LastName,DOB,Country,Phone
I001,John,D. Doe,1990-01-01,United States,+12005551234
I002,Jane,Smith,1985-05-15,Canada,+15555678
I003,bob,mcdonald,1978-09-30,United Kingdom,+445558765
I004,Alice,Williams,1992-12-10,Australia,+6155943212
I005,Tom,Brown,1980-03-25,United States,+11005556789
I006,Emily,Davis,1995-07-20,Canada,
I007,Michael,Miller,1988-11-30,United Kingdom,+445551234
I008,sarah,van der berg,1990-02-14,Australia,+615559876
I009,david,o'neil,1983-03-04,United States,+13005554321
I010,Laura,Taylor,,Bahamas,+12425556789
I011,Chris,Anderson,1987-08-19,Bahamas,+12425551234
I012,Boris,Babić,1985-03-10,Croatia,+3855554321
I013,Anna,Müller,1990-10-10,Germany,+495556789
I014,Carlos,García,1982-12-01,Spain,+345551234
I015,Maria,Rossi,1993-04-03,Germany,+4903072344321
I016,Ahmed,Khan,,United Kingdom,+445554321
I017,张,三,1990-01-01,China,+865551234
I018,李,四,1985-05-15,China,+8613855556789
I019,山田,太郎,,Japan,+815551234
I020,فلا,الفلاني,1990-01-01,Saudi Arabia,+9665551234
